Player_Name,Age,Pro_since,ATPRank,EloRank,EloPoints
Jannik Sinner,23,2018,1,1,2324.8
Alexander Zverev,27,2013,2,4,2101.7
Carlos Alcaraz,21,2018,3,3,2151.6
Taylor Fritz,27,2015,4,6,2027.3
Casper Ruud,26,2015,5,18,1918.2
Novak Djokovic,37,2003,6,2,2197.5
Daniil Medvedev,28,2014,7,5,2027.7
Alex de Minaur,25,2015,8,12,1953.5
Tommy Paul,27,2015,9,10,1972.4
Andrey Rublev,27,2014,10,26,1918.2
